,fish_name,fish_scientific,fish_status,fish_appearence,fish_habitat,fish_behavior,fish_additional
0,African Pompano,Alectis ciliaris,Native,Similar Species: Other pompano species,"Young found in open waters. Adults found to depths of 180 feet, often near reefs, wrecks and ledges.",Great fighter and good to eat. Often found in schools over structure.,Recreational Regulations
1,Almaco Jack,Seriola rivoliana,Native,Similar Species: Other jack species,"Wide-ranging in offshore waters, not a common catch. Young are associated with sargassum.","Spawn offshore during spring, summer and fall.",Recreational Regulations
2,American Shad,Alosa sapidissima,Native,"Similar Species: Other herrings (menhaden, which are often referred to as “shad,” have a rounder lower jaw tip; American shad is an east coast species)",Occur from rivers to offshore waters,"Enter freshwater to spawn; young remain in freshwater, then move out to sea with age; feed on plankton; important baitfish",State Record:  This species is not currently eligible for a state record.
3,Atlantic Bonito,Sarda sarda,Native,Also known as true bonito and northern bonito.,Coastal to offshore waters of the Atlantic Ocean (rarely found in the Gulf).,Feed on small fishes and invertebrates,Recreational Regulations
4,Atlantic Bumper,Chloroscombrus chrysurus,Native,Similar Species: Other jack species,Found offshore and inshore in bays and estuaries.,"Diet includes fishes, invertebrates, plankton and decaying matter.",Recreational Regulations
5,Atlantic Croaker,Micropogonias undulatus,Native,"Similar Species: Spot, L. xanthurus (caudal fin is forked and preopercle is smooth)","Generally found north of Tampa Bay on the west coast and north of Cape Canaveral on the east coast. Young found in estuaries and older fish (2 to 3 years) inhabit deep offshore waters during the winter months and move into bays and estuaries during the spring, summer and fall.",Become bronze or yellow in color during spawning. Spawning occurs offshore in fall. Feeds on fishes and invertebrates.,"State Record: 4 lbs 15 oz, caught near St. Lucie"
6,Atlantic Sharpnose Shark,Rhizoprionodon terraenovae,Native, ,Coastal waters; can be found near the surf zone; common in bays and estuaries., ,"This abundant, small coastal shark is caught frequently and targeted for their meat as it’s both sold for human consumption and used as bait to target larger species of shark. However, their small fin size makes them less valuable to commercial fisheries than other species of shark. Commonly caught as bycatch in the shrimp fisheries."
7,Atlantic Spadefish,Chaetodipterus faber,Native,"Similar Species: No close resemblance, but frequently called angelfish by mistake","Inshore, nearshore, over seagrass beds and around structure",Spawn in spring and summer; travel in large schools; small juveniles may drift on their sides to mimic floating debris; feed on crustaceans and other invertebrates,State Record:  This species is not currently eligible for a state record.
8,Atlantic Thread Herring,Opisthonema oglinum,Native,"Dark blue-gray back, silvery sides and a white bellyLast dorsal fin ray is elongatedSimilar Species: American shad, A. sapidissima; and threadfin shad, D. petenense",Coastal waters,"Filter-feed on plankton and eat small fishes, crabs and shrimp.",Recreational Regulations
9,Ballyhoo,Hemiramphus brasiliensis,Native,Similar Species: Other halfbeaks,Young are found in open waters. Adults found in bays and nearshore waters close to reefs., ,Popular bait species.
10,Banded Rudderfish,Seriola zonata,Native,Similar Species: Other jack species,"Nearshore and offshore over hard bottom, generally in shallower water than other amberjacks. Young associated with weed lines or floating debris and may follow sharks and other large fish.",Adults feed on fish and shrimp.  Spawning occurs offshore most of year.,Recreational Regulations
11,Bank Sea Bass,Centropristis ocyurus,Native,"Similar Species: Rock sea bass, C. philadelphica (has spot near middle of dorsal base and head is fully-scaled)",Coastal waters over hard bottom areas.,Feed on small fishes and invertebrates.,State Record: This species is not currently eligible for a state record.
12,Bay Anchovy,Anchoa mitchilli,Native,"Similar Species: Striped anchovy, A. hepsetus (anal fin begins below middle of dorsal fin)",Shallow bays and estuaries. Common in brackish waters.,Form dense schools and tolerate a wide range of salinities.,Recreational Regulations
13,Bigeye Scad,Selar crumenophthalmus,Native,Also known as goggle-eye.,Prefers clear oceanic waters.,Usually nocturnal and feed at night on invertebrates and plankton.,Recreational Regulations
14,Black Drum,Pogonias cromis,Native,"Similar Species: Red drum, S. ocellatus; and sheepshead, A. probatocephalus (both lack barbels on lower jaw)","Inshore fish common to bays, river mouths and lagoons. Bottom dwellers, often found around oyster beds, docks and bridge pilings. May also be found offshore. Juveniles found in estuaries.","Largest of drum species. Spawns nearshore in winter and early spring. Feeds on fishes and invertebrates including oysters, mussels, crabs and shrimp. May live to 35 or more years.","Fishing Tips and Facts: The vertical bars on juvenile black drum are somewhat similar to those on sheepshead and spadefish. Anglers typically use cut bait, shrimp, sand fleas or blue crabs as bait, and it is very important to keep the bait on the bottom where the drum feed. Tackle requirements are dependent on the size of fish being targeted, the location and current. Bait-casting or spinning tackle with 15 to 30 pound test line would be suitable for most conditions."
15,Black Grouper,Mycteroperca bonaci,Native,"Similar Species: Gag, M. microlepis (spur on preopercle is serrated); and yellowfin grouper, M. venenosa (pectoral fins trimmed in bright yellow)","Coastal waters near structure. Juveniles can be found inshore. Adults are associated with rocky bottoms, reef, and drop off walls in water over 60 feet deep.",Spawn during the winter months.,"State Record: 113 lb 6 oz, caught near the Dry Tortugas"
16,Black Sea Bass,Centropristis striata,Native,Also known as rock bass or rockfish.,Coastal waters near structure and rocky bottoms.  Smaller specimens are often found inshore in finger channels.,"Spawn January through March and are protogynous hermaphrodites, meaning older females becoming breeding males. Omnivorous bottom feeders, and their diet includes small fish, crustaceans, and shellfish.","State Record: 5 lb, 1 oz, caught near Panama City."
17,Blackfin Snapper,Lutjanus buccanella,Native,Similar Species: Other snappers,"Coastal waters, with adults in deeper water and juveniles in shallower areas.",Diet mainly consists of fishes.,State Record: This species is not currently eligible for a state record.
